ref,title,author,lastRunTime,totalVotes
ducnh279/kacs1-fine-tuning-qwen3-14b,KACS1: Fine-Tuning Qwen3-14B,ducnh279,2025-05-10 21:05:41.290000,41
ducnh279/kacs1-fine-tuning-qwen2-5-14b,KACS1: Fine-Tuning Qwen2.5-14B,ducnh279,2025-05-10 21:21:30.363000,27
