ref,title,author,lastRunTime,totalVotes
steubk/jrsotc-a-detoxify-solution-0-81299-3rd-place,JRSoTC - A Detoxify Solution 0.81299 (3rd place),steubk,2022-02-14 07:02:50.530000,6
steubk/jrsotc-ridgeregression,JRSoTC - RidgeRegression,steubk,2021-11-22 13:02:03.767000,61
